ID Sex Gen SireID MumID Status Died Cohort Arrived
ID_96 1 66 NA NA d 1985 1985 1985
ID_97 2 66 NA NA d 1987 1985 1985
ID_98 1 66 NA NA d 1985 1985 1985
ID_99 1 66 NA NA d 1987 1985 1985
ID_100 1 66 NA NA d 1986 1985 1985
ID_101 1 66 NA NA d 1991 1985 1985
ID_102 1 66 NA NA d 1986 1985 1985
ID_103 1 66 NA NA d 1987 1985 1985
ID_104 1 66 NA NA d 1989 1985 1985
ID_105 1 66 NA NA d 1986 1985 1985
ID_106 1 66 NA NA d 1988 1985 1985
ID_107 2 66 NA NA d 1987 1985 1985
ID_108 1 66 NA NA d 1986 1985 1985
ID_109 1 66 NA NA d 1991 1985 1985
ID_110 1 66 NA NA d 1987 1985 1985
ID_111 1 66 NA NA d 1987 1985 1985
ID_112 2 66 NA NA d 1988 1985 1985
ID_113 1 66 NA NA d 1987 1985 1985
ID_114 2 66 NA NA d 1989 1985 1985
ID_115 1 66 NA NA d 1986 1985 1985
ID_116 2 66 NA NA d 1988 1985 1985
ID_117 1 66 NA NA d 1987 1985 1985
ID_118 1 66 NA NA d 1986 1985 1985
ID_119 2 66 NA NA d 1985 1985 1985
ID_120 1 66 NA NA d 1985 1985 1985
ID_121 2 66 NA NA d 1987 1985 1985
ID_122 2 66 NA NA d 1986 1985 1985
ID_123 1 66 NA NA d 1987 1985 1985
ID_124 1 66 NA NA d 1989 1985 1985
ID_125 1 66 NA NA d 1987 1985 1985
ID_126 1 66 NA NA d 1989 1985 1985
ID_127 1 66 NA NA d 1993 1985 1985
ID_128 2 66 NA NA d 1987 1985 1985
ID_129 2 66 NA NA d 1985 1985 1985
ID_130 1 66 NA NA d 2002 1985 1985
ID_131 2 66 NA NA d 1987 1985 1985
ID_132 2 66 NA NA d 1988 1985 1985
ID_133 2 66 NA NA d 1986 1985 1985
ID_134 2 66 NA NA d 1986 1985 1985
ID_135 2 66 NA NA d 1987 1985 1985
ID_136 1 66 NA NA d 2002 1985 1985
ID_137 2 66 NA NA d 1986 1985 1985
ID_138 2 66 NA NA d 1987 1985 1985
ID_139 2 66 NA NA d 1987 1985 1985
ID_140 1 66 NA NA d 1985 1985 1985
ID_141 2 66 NA NA d 1987 1985 1985
ID_142 1 66 NA NA d 1985 1985 1985
ID_143 1 66 NA NA d 1985 1985 1985
ID_144 2 66 NA NA d 1986 1985 1985
ID_145 2 66 NA NA d 1985 1985 1985
ID_146 1 66 NA NA d 1988 1985 1985
ID_147 1 66 NA NA d 1987 1985 1985
ID_148 1 66 NA NA d 1988 1985 1985
ID_149 2 66 NA NA d 1987 1985 1985
ID_150 2 66 NA NA d 1989 1985 1985
ID_151 2 66 NA NA d 1988 1985 1985
ID_152 2 66 NA NA d 1987 1985 1985
ID_153 1 66 NA NA d 1985 1985 1985
ID_154 1 66 NA NA d 1989 1985 1985
ID_155 2 66 NA NA d 1987 1985 1985
ID_156 1 66 NA NA d 1985 1985 1985
ID_157 2 66 NA NA d 1985 1985 1985
ID_158 2 66 NA NA d 1987 1985 1985
ID_159 2 66 NA NA d 1987 1985 1985
ID_160 1 66 NA NA d 1985 1985 1985
ID_161 2 66 NA NA d 1985 1985 1985
ID_162 2 66 NA NA d 1989 1985 1985
ID_163 2 66 NA NA d 1988 1985 1985
ID_164 1 66 NA NA d 1987 1985 1985
ID_165 1 66 NA NA d 1985 1985 1985
ID_166 2 66 NA NA d 1986 1985 1985
ID_167 2 66 NA NA d 1988 1985 1985
ID_168 1 66 NA NA d 1994 1985 1985
ID_169 2 66 NA NA d 1985 1985 1985
ID_170 2 66 NA NA d 1985 1985 1985
ID_171 2 66 NA NA d 1986 1985 1985
ID_172 2 66 NA NA d 1987 1985 1985
ID_173 1 66 NA NA d 1986 1985 1985
ID_174 1 66 NA NA d 1985 1985 1985
ID_175 1 66 NA NA d 1988 1985 1985
ID_176 2 66 NA NA d 1987 1985 1985
ID_177 2 66 NA NA d 1985 1985 1985
ID_178 1 66 NA NA d 1986 1985 1985
ID_179 1 66 NA NA d 1989 1985 1985
ID_180 1 66 NA NA d 1986 1985 1985
ID_181 1 66 NA NA d 1985 1985 1985
ID_182 2 66 NA NA d 1988 1985 1985
ID_183 1 66 NA NA d 1987 1985 1985
ID_184 2 66 NA NA d 1986 1985 1985
ID_185 2 66 NA NA d 1987 1985 1985
ID_186 2 66 NA NA d 1987 1985 1985
ID_187 2 66 NA NA d 1985 1985 1985
ID_188 1 66 NA NA d 1987 1985 1985
ID_189 1 66 NA NA d 1987 1985 1985
ID_190 1 66 NA NA d 1986 1985 1985
ID_191 1 66 NA NA d 1987 1985 1985
ID_192 2 66 NA NA d 1985 1985 1985
ID_193 2 66 NA NA d 1987 1985 1985
ID_194 1 66 NA NA d 1987 1985 1985
ID_195 1 66 NA NA d 1987 1985 1985
ID_196 2 66 NA NA d 1988 1985 1985
ID_197 1 66 NA NA d 1986 1985 1985
ID_198 2 66 NA NA d 1987 1985 1985
ID_199 1 66 NA NA d 1989 1985 1985
ID_200 1 66 NA NA d 1985 1985 1985
ID_201 1 66 NA NA d 1992 1985 1985
ID_202 1 66 NA NA d 1989 1985 1985
ID_203 1 66 NA NA d 1996 1985 1985
ID_204 2 66 NA NA d 1991 1985 1985
ID_205 1 66 NA NA d 1986 1985 1985
ID_206 2 66 NA NA d 1987 1985 1985
ID_207 2 66 NA NA d 1987 1985 1985
ID_208 1 66 NA NA d 1989 1985 1985
ID_209 2 66 NA NA d 1989 1985 1985
ID_210 NA 66 NA NA d 1985 NA 1985
ID_211 1 66 NA NA d 1985 1985 1985
ID_212 2 66 NA NA d 1986 1985 1985
ID_213 2 66 NA NA d 1987 1985 1985
ID_214 1 66 NA NA d 1987 1985 1985
ID_215 1 66 NA NA d 1986 1985 1985
ID_216 2 66 NA NA d 1991 1985 1985
ID_217 1 66 NA NA d 1986 1985 1985
ID_218 1 66 NA NA d 1985 1985 1985
ID_219 1 66 NA NA d 1993 1985 1985
ID_220 1 66 NA NA d 1987 1985 1985
ID_221 1 66 NA NA d 1988 1985 1985
ID_222 1 66 NA NA d 1986 1985 1985
ID_223 1 66 NA NA d 1988 1985 1985
ID_224 1 66 NA NA d 1986 1985 1985
ID_225 1 66 NA NA d 1986 1985 1985
ID_226 1 66 NA NA d 1993 1985 1985
ID_227 2 67 NA NA d 1986 1986 1986
ID_228 2 67 NA NA d 1986 1986 1986
ID_229 2 67 NA NA d 1986 1986 1986
ID_230 1 67 NA NA d 1986 1986 1986
ID_231 1 67 NA NA d 1986 1986 1986
ID_232 2 67 NA NA d 1986 1986 1986
ID_233 1 67 NA NA d 1987 1986 1986
ID_234 1 67 NA NA d 1986 1986 1986
ID_235 2 67 ID_33 ID_135 d 1987 1986 1986
ID_236 2 67 NA NA d 1986 1986 1986
ID_237 2 67 NA NA d 1986 1986 1986
ID_238 1 67 NA NA d 1986 1986 1986
ID_239 2 67 ID_223 ID_27 d 1986 1986 1986
ID_240 1 67 NA NA d 1991 1986 1986
ID_241 2 67 NA NA d 1987 1986 1986
ID_242 1 67 NA NA d 1986 1986 1986
ID_243 1 67 NA NA d 1987 1986 1986
ID_244 2 67 NA NA d 1987 1986 1986
ID_245 1 67 NA NA d 1986 1986 1986
ID_246 2 67 ID_30 ID_171 d 1986 1986 1986
ID_247 1 67 ID_223 ID_13 d 1987 1986 1986
ID_248 1 67 NA NA d 1986 1986 1986
ID_249 1 67 NA NA d 1986 1986 1986
ID_250 2 67 ID_154 ID_49 d 1986 1986 1986
ID_251 2 67 NA NA d 1986 1986 1986
ID_252 1 67 NA NA d 1986 1986 1986
ID_253 2 67 NA NA d 1986 1986 1986
ID_254 1 67 NA NA d 1986 1986 1986
ID_255 2 67 NA NA d 1986 1986 1986
ID_256 2 67 NA NA d 1987 1986 1986
ID_257 1 67 NA NA d 1986 1986 1986
ID_258 1 67 NA NA d 1986 1986 1986
ID_259 2 67 NA NA d 1988 1986 1986
ID_260 1 67 ID_17 ID_107 d 1986 1986 1986
ID_261 1 67 ID_190 ID_34 d 1986 1986 1986
ID_262 1 67 ID_180 ID_11 d 1986 1986 1986
ID_263 2 67 NA NA d 1986 1986 1986
ID_264 2 67 NA NA d 1986 1986 1986
ID_265 1 67 NA NA d 1986 1986 1986
ID_266 1 67 NA NA d 1986 1986 1986
ID_267 2 67 NA NA d 1987 1986 1986
ID_268 1 67 NA NA d 1986 1986 1986
ID_269 1 67 NA NA d 1986 1986 1986
ID_270 2 67 ID_113 ID_12 d 1986 1986 1986
ID_271 2 67 NA NA d 1987 1986 1986
ID_272 NA 67 ID_22 ID_41 d 1991 NA 1986
ID_273 1 67 NA NA d 1986 1986 1986
ID_274 2 67 NA NA d 1986 1986 1986
ID_275 1 67 NA NA d 1987 1986 1986
ID_276 2 67 ID_214 ID_162 d 1988 1986 1986
ID_277 1 67 NA NA d 1987 1986 1986
ID_278 1 67 NA NA d 1986 1986 1986
ID_279 2 67 NA NA d 1986 1986 1986
ID_280 2 67 NA NA d 1986 1986 1986
ID_281 2 67 NA NA d 1986 1986 1986
ID_282 2 67 NA NA d 1986 1986 1986
ID_283 1 67 NA NA d 1986 1986 1986
ID_284 1 67 NA NA d 1986 1986 1986
ID_285 1 67 NA NA d 1986 1986 1986
ID_286 2 67 NA NA d 1986 1986 1986
ID_287 2 67 NA NA d 1986 1986 1986
ID_288 1 67 NA NA d 1986 1986 1986
ID_289 1 67 NA NA d 1988 1986 1986
ID_290 2 67 NA NA d 1986 1986 1986
ID_291 2 67 NA NA d 1987 1986 1986
ID_292 1 67 NA NA d 1986 1986 1986
ID_293 2 67 NA NA d 1986 1986 1986
ID_294 2 67 NA NA d 1986 1986 1986
ID_295 2 67 NA ID_193 d 1986 1986 1986
ID_296 1 67 NA NA d 1986 1986 1986
ID_297 2 67 ID_101 ID_152 d 1986 1986 1986
ID_298 1 67 NA NA d 1991 1986 1986
ID_299 2 67 ID_168 ID_112 d 1987 1986 1986
ID_300 1 67 NA NA d 1986 1986 1986
ID_301 1 67 NA NA d 1986 1986 1986
ID_302 1 67 NA NA d 1986 1986 1986
ID_303 2 67 NA NA d 1986 1986 1986
ID_304 2 67 NA NA d 1987 1986 1986
ID_305 1 67 NA NA d 1986 1986 1986
ID_306 2 67 ID_208 ID_162 d 1986 1986 1986
ID_307 1 67 NA NA d 1986 1986 1986
ID_308 1 67 NA NA d 1986 1986 1986
ID_309 2 67 NA NA d 1986 1986 1986
ID_310 1 67 ID_197 ID_82 d 1986 1986 1986
ID_311 2 67 NA NA d 1986 1986 1986
ID_312 2 67 ID_195 ID_82 d 1986 1986 1986
ID_313 1 67 NA NA d 1986 1986 1986
ID_314 2 67 NA NA d 1986 1986 1986
ID_315 1 67 NA NA d 1986 1986 1986
ID_316 2 67 NA NA d 1986 1986 1986
ID_317 2 67 NA NA d 1986 1986 1986
ID_318 2 67 NA NA d 1986 1986 1986
ID_319 1 67 NA NA d 1986 1986 1986
ID_320 1 67 NA NA d 1986 1986 1986
ID_321 1 67 NA NA d 1986 1986 1986
ID_322 1 67 NA NA d 1988 1986 1986
ID_323 1 67 NA NA d 1986 1986 1986
ID_324 1 67 NA NA d 1986 1986 1986
ID_325 1 67 NA NA d 1986 1986 1986
ID_326 2 67 NA NA d 1986 1986 1986
ID_327 2 67 NA NA d 1986 1986 1986
ID_328 1 67 NA NA d 1986 1986 1986
ID_329 2 67 NA NA d 1986 1986 1986
ID_330 1 67 NA NA d 1986 1986 1986
ID_331 2 67 ID_217 ID_77 d 1987 1986 1986
ID_332 1 67 NA NA d 1986 1986 1986
ID_333 1 67 NA NA d 1986 1986 1986
ID_334 1 67 NA NA d 1986 1986 1986
ID_335 2 67 NA NA d 1986 1986 1986
ID_336 2 67 NA NA d 1986 1986 1986
ID_337 2 67 ID_37 ID_207 d 1988 1986 1986
ID_338 2 67 NA NA d 1986 1986 1986
ID_339 1 67 NA NA d 1986 1986 1986
ID_340 1 67 NA NA d 1986 1986 1986
ID_341 1 67 NA NA d 1987 1986 1986
ID_342 1 67 NA NA d 1986 1986 1986
ID_343 1 67 NA NA d 1986 1986 1986
ID_344 2 67 NA NA d 1986 1986 1986
ID_345 1 67 NA NA d 1986 1986 1986
ID_346 1 67 NA NA d 1987 1986 1986
ID_347 2 67 NA NA d 1986 1986 1986
ID_348 2 67 NA NA d 1986 1986 1986
ID_349 1 67 NA NA d 1986 1986 1986
ID_350 2 67 NA NA d 1987 1986 1986
ID_351 1 67 NA NA d 1986 1986 1986
ID_352 1 67 NA NA d 1986 1986 1986
ID_353 2 67 NA NA d 1986 1986 1986
ID_354 1 67 NA NA d 1986 1986 1986
ID_355 NA 67 NA NA d 1986 NA 1986
ID_356 2 67 NA NA d 1986 1986 1986
ID_357 2 67 NA NA d 1986 1986 1986
ID_358 1 67 NA NA d 1987 1986 1986
ID_359 1 67 NA NA d 1991 1986 1986
ID_360 1 67 NA NA d 1986 1986 1986
ID_361 1 67 NA NA d 1986 1986 1986
ID_362 2 67 NA NA d 1986 1986 1986
ID_363 2 67 NA NA d 1987 1986 1986
ID_364 1 67 ID_147 ID_163 d 1986 1986 1986
ID_365 2 67 NA NA d 1986 1986 1986
ID_366 1 67 NA NA d 1986 1986 1986
ID_367 1 67 NA NA d 1986 1986 1986
ID_368 2 67 ID_74 ID_121 d 1986 1986 1986
ID_369 1 67 NA NA d 1986 1986 1986
ID_370 1 67 NA NA d 1986 1986 1986
ID_371 1 67 NA NA d 1986 1986 1986
ID_372 2 67 NA NA d 1987 1986 1986
ID_373 1 67 NA NA d 1986 1986 1986
ID_374 NA 67 NA NA d 1986 NA 1986
ID_375 2 67 ID_83 ID_68 d 1986 1986 1986
ID_376 1 67 NA NA d 1988 1986 1986
ID_377 1 67 NA NA d 1986 1986 1986
ID_378 2 67 NA NA d 1986 1986 1986
ID_379 2 67 ID_214 ID_19 d 1986 1986 1986
ID_380 2 67 NA NA d 1986 1986 1986
ID_381 2 67 ID_57 ID_182 d 1986 1986 1986
ID_382 2 67 ID_94 ID_186 d 1986 1986 1986
ID_383 2 67 NA NA d 1986 1986 1986
ID_384 1 67 ID_74 ID_42 d 1987 1986 1986
ID_385 1 67 NA NA d 1986 1986 1986
ID_386 1 67 NA NA d 1986 1986 1986
ID_387 2 67 NA NA d 1986 1986 1986
ID_388 2 67 NA NA d 1986 1986 1986
ID_389 1 67 NA NA d 1986 1986 1986
ID_390 1 67 NA NA d 1986 1986 1986
ID_391 2 67 NA NA d 1989 1986 1986
ID_392 1 67 NA NA d 1986 1986 1986
ID_393 2 67 NA NA d 1986 1986 1986
ID_394 2 67 NA NA d 1987 1986 1986
ID_395 1 67 NA NA d 1986 1986 1986
ID_396 2 67 NA NA d 1986 1986 1986
ID_397 2 67 NA NA d 1986 1986 1986
ID_398 2 67 NA NA d 1986 1986 1986
ID_399 2 67 NA NA d 1986 1986 1986
ID_400 1 67 NA NA d 1989 1986 1986
ID_401 2 67 NA NA d 1986 1986 1986
ID_402 2 67 NA NA d 1987 1986 1986
ID_403 1 67 ID_223 ID_46 d 1986 1986 1986
ID_404 2 67 NA NA d 1986 1986 1986
ID_405 1 67 ID_125 ID_133 d 1986 1986 1986
ID_406 2 67 NA NA d 1986 1986 1986
ID_407 2 67 NA NA d 1987 1986 1986
ID_408 1 67 ID_54 ID_198 d 1986 1986 1986
ID_409 2 67 NA NA d 1986 1986 1986
ID_410 2 67 NA NA d 1986 1986 1986
ID_411 1 67 NA NA d 1986 1986 1986
ID_412 2 67 NA NA d 1986 1986 1986
ID_413 1 67 NA NA d 1986 1986 1986
ID_414 1 67 NA NA d 1986 1986 1986
ID_415 1 67 NA NA d 1995 1986 1986
ID_416 2 67 NA NA d 1986 1986 1986
ID_417 2 67 NA NA d 1986 1986 1986
ID_418 1 67 NA NA d 1986 1986 1986
ID_419 2 67 NA NA d 1986 1986 1986
ID_420 2 67 NA NA d 1987 1986 1986
ID_421 1 67 NA NA d 1986 1986 1986
ID_422 2 67 ID_23 ID_5 d 1987 1986 1986
ID_423 2 67 NA NA d 1986 1986 1986
ID_424 2 67 NA NA d 1987 1986 1986
ID_425 1 67 ID_136 ID_77 d 1986 1986 1986
ID_426 2 67 NA NA d 1986 1986 1986
ID_427 1 67 NA NA d 1986 1986 1986
ID_428 2 67 NA NA d 1986 1986 1986
ID_429 1 67 NA NA d 1986 1986 1986
ID_430 1 67 NA NA d 1986 1986 1986
ID_431 1 67 NA NA d 1986 1986 1986
ID_432 1 67 ID_23 ID_184 d 1986 1986 1986
ID_433 1 67 NA NA d 1987 1986 1986
ID_434 2 67 NA NA d 1986 1986 1986
ID_435 2 67 NA NA d 1986 1986 1986
ID_436 1 67 NA NA d 1986 1986 1986
ID_437 1 67 ID_54 ID_155 d 1986 1986 1986
ID_438 1 67 NA NA d 1986 1986 1986
ID_439 1 67 NA NA d 1986 1986 1986
ID_440 1 67 NA NA d 1986 1986 1986
ID_441 1 67 ID_123 ID_131 d 1986 1986 1986
ID_442 1 67 NA NA d 1986 1986 1986
ID_443 2 67 NA NA d 1986 1986 1986
ID_444 1 67 NA NA d 1986 1986 1986
ID_445 1 67 NA NA d 1986 1986 1986
ID_446 1 67 ID_54 ID_138 d 1989 1986 1986
ID_447 1 67 NA NA d 1991 1986 1986
ID_448 1 67 NA NA d 1986 1986 1986
ID_449 1 67 NA NA d 1986 1986 1986
ID_450 1 67 NA NA d 1986 1986 1986
ID_451 2 67 ID_220 ID_31 d 1986 1986 1986
ID_452 1 67 NA NA d 1986 1986 1986
ID_453 1 67 NA NA d 1986 1986 1986
ID_454 2 67 NA NA d 1986 1986 1986
ID_455 2 67 NA NA d 1988 1986 1986
ID_456 1 67 NA NA d 1986 1986 1986
ID_457 1 67 NA NA d 1986 1986 1986
ID_458 1 67 ID_106 ID_40 d 1986 1986 1986
ID_459 2 67 NA NA d 1986 1986 1986
ID_460 1 67 NA NA d 1986 1986 1986
ID_461 2 67 NA NA d 1986 1986 1986
ID_462 1 67 NA NA d 1986 1986 1986
ID_463 2 67 NA NA d 1986 1986 1986
ID_464 1 67 NA NA d 1986 1986 1986
ID_465 2 67 NA NA d 1986 1986 1986
ID_466 2 67 NA NA d 1986 1986 1986
ID_467 2 67 NA NA d 1986 1986 1986
ID_468 2 67 ID_203 ID_198 d 1986 1986 1986
ID_469 2 67 NA NA d 1986 1986 1986
ID_470 2 67 NA NA d 1986 1986 1986
ID_471 2 67 ID_108 ID_196 d 1986 1986 1986
ID_472 1 67 NA NA d 1999 1986 1986
ID_473 1 67 NA NA d 1993 1986 1986
ID_474 1 67 NA NA d 1987 1986 1986
ID_475 1 67 NA NA d 1991 1986 1986
ID_476 2 67 NA NA d 1986 1986 1986
ID_477 1 67 NA NA d 1986 1986 1986
ID_478 1 67 ID_4 ID_206 d 1989 1986 1986
ID_479 2 67 NA NA d 1986 1986 1986
ID_480 1 67 NA NA d 1991 1986 1986
ID_481 1 67 NA NA d 1986 1986 1986
ID_482 1 67 NA NA d 1988 1986 1986
ID_483 2 67 NA NA d 1986 1986 1986
ID_484 1 67 NA NA d 1986 1986 1986
ID_485 1 67 NA ID_144 d 1987 1986 1986
ID_486 2 67 NA NA d 1986 1986 1986
ID_487 1 67 NA NA d 1986 1986 1986
ID_488 2 67 NA NA d 1986 1986 1986
ID_489 2 67 NA NA d 1986 1986 1986
ID_490 2 67 NA NA d 1986 1986 1986
ID_491 1 67 NA NA d 1986 1986 1986
ID_492 1 67 NA NA d 1986 1986 1986
ID_493 2 67 NA NA d 1986 1986 1986
ID_494 2 67 NA NA d 1986 1986 1986
ID_495 1 67 NA NA d 1986 1986 1986
ID_496 2 67 NA NA d 1986 1986 1986
ID_497 2 67 NA NA d 1986 1986 1986
ID_498 2 67 NA NA d 1986 1986 1986
ID_499 1 67 ID_224 ID_79 d 1986 1986 1986
ID_500 2 67 NA NA d 1986 1986 1986
ID_501 2 67 NA NA d 1986 1986 1986
ID_502 2 67 NA NA d 1986 1986 1986
ID_503 1 67 NA NA d 1986 1986 1986
ID_504 1 67 ID_194 ID_27 d 1986 1986 1986
ID_505 1 67 ID_104 ID_31 d 1986 1986 1986
ID_506 2 67 NA NA d 1986 1986 1986
ID_507 1 67 ID_146 ID_12 d 1986 1986 1986
ID_508 1 67 NA NA d 1986 1986 1986
ID_509 2 67 ID_205 ID_58 d 1986 1986 1986
ID_510 1 67 NA NA d 1991 1986 1986
ID_511 2 67 NA NA d 1986 1986 1986
ID_512 2 67 NA NA d 1986 1986 1986
ID_513 2 67 ID_223 ID_133 d 1987 1986 1986
ID_514 2 67 NA NA d 1986 1986 1986
ID_515 2 67 NA NA d 1987 1986 1986
ID_516 1 67 NA NA d 1987 1986 1986
ID_517 2 67 NA NA d 1987 1986 1986
ID_518 2 67 NA NA d 1988 1986 1986
ID_519 1 67 NA NA d 1986 1986 1986
ID_520 2 67 NA NA d 1986 1986 1986
ID_521 2 67 NA NA d 1986 1986 1986
ID_522 2 67 NA NA d 1986 1986 1986
ID_523 1 67 ID_60 ID_171 d 1993 1986 1986
ID_524 2 67 NA NA d 1986 1986 1986
ID_525 2 67 NA NA d 1986 1986 1986
ID_526 2 67 NA NA d 1986 1986 1986
ID_527 2 67 NA NA d 1986 1986 1986
ID_528 1 67 NA NA d 1986 1986 1986
ID_529 1 67 NA NA d 1986 1986 1986
ID_530 2 67 NA NA d 1986 1986 1986
ID_531 2 67 ID_124 ID_73 d 1986 1986 1986
ID_532 1 67 NA NA d 1986 1986 1986
ID_533 2 67 NA NA d 1986 1986 1986
ID_534 1 67 NA NA d 1986 1986 1986
ID_535 2 67 NA NA d 1987 1986 1986
ID_536 1 67 NA NA d 1986 1986 1986
ID_537 1 67 NA NA d 1992 1986 1986
ID_538 2 67 ID_173 ID_149 d 1987 1986 1986
ID_539 1 67 ID_136 ID_151 d 1986 1986 1986
ID_540 1 67 NA NA d 1995 1986 1986
ID_541 NA 67 NA NA d 1987 NA 1986
ID_542 2 67 NA NA d 1986 1986 1986
ID_543 2 67 ID_65 ID_79 d 1987 1986 1986
ID_544 2 67 NA NA d 1986 1986 1986
ID_545 1 67 NA NA d 1986 1986 1986
ID_546 2 67 NA NA d 1986 1986 1986
ID_547 2 67 NA NA d 1986 1986 1986
ID_548 NA 67 NA NA d 1986 NA 1986
ID_549 2 67 NA NA d 1987 1986 1986
ID_550 2 67 NA NA d 1987 1986 1986
ID_551 NA 67 NA NA d 1987 NA 1986
ID_552 2 67 NA NA d 1987 1986 1986
ID_553 2 67 NA NA d 1986 1986 1986
ID_554 1 67 ID_100 ID_135 d 1987 1986 1986
ID_555 2 67 NA NA d 1986 1986 1986
ID_556 2 67 NA NA d 1986 1986 1986
ID_557 1 67 NA NA d 1987 1986 1986
ID_558 2 67 NA NA d 1986 1986 1986
ID_559 1 67 NA NA d 1994 1986 1986
ID_560 1 67 NA NA d 1996 1986 1986
ID_561 1 67 NA NA d 1988 1986 1986
ID_562 1 67 NA NA d 1986 1986 1986
ID_563 1 67 NA NA d 1986 1986 1986
ID_564 2 67 NA NA d 1987 1986 1986
ID_565 1 67 ID_226 ID_64 d 1986 1986 1986
ID_566 1 67 NA NA d 1987 1986 1986
ID_567 2 67 NA NA d 1986 1986 1986
